Node       Visible Definition                Description                   
S035C59    Y       Parm293/G(total)          G(tau- --> mu- eta^'(958))/G(total)
S035R64    Y       Parm44/G(total)           G(tau- --> e- rho0)/G(total)  
S035R65    Y       Parm45/G(total)           G(tau- --> e- pi+ pi-)/G(total)
S035R66    Y       Parm46/G(total)           G(tau- --> e+ pi- pi-)/G(total)
S035R67    Y       Parm47/G(total)           G(tau- --> mu- pi+ pi-)/G(total)
S035R60    Y       Parm40/G(total)           G(tau- --> e- pi0)/G(total)   
S035R61    Y       Parm41/G(total)           G(tau- --> mu- K0S)/G(total)  
S035R62    Y       Parm42/G(total)           G(tau- --> e- K0S)/G(total)   
S035R63    Y       Parm43/G(total)           G(tau- --> mu- rho0)/G(total) 
S035R15    Y       Parm71/G(total)           G(tau- --> h- omega #text{ #def{>=}0 neutrals } nu_tau)/G(total)
S035R14    Y       Parm8/Parm143             G(tau- --> h- omega nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau #text{(ex.#p{K0})})
S035C84    Y       Parm317/G(total)          G(tau- --> pi- omega 2pi0 nu_tau)/G(total)
S035R17    N       Parm2/G(total)*Parm16/G(total) G(tau- --> e- nubar_e nu_tau)/G(total)*G(tau- --> pi- pi0 nu_tau)/G(total)
S035R18    N       Parm2/G(total)*Parm12/G(total) G(tau- --> e- nubar_e nu_tau)/G(total)*G(tau- --> pi- nu_tau)/G(total)
S035B33    Y       Parm118/G(total)          G(tau- --> pi- Kbar0 pi0 nu_tau)/G(total)
S035B32    Y       Parm117/G(total)          G(tau- --> pi- Kbar0 nu_tau)/G(total)
S035B31    Y       Parm116/G(total)          G(tau- --> K- 3pi0 nu_tau #text{(ex.#p{K0}, #p{eta})})/G(total)
S035B30    Y       Parm115/G(total)          G(tau- --> K- 2pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035B37    Y       Parm122/G(total)          G(tau- --> K- K+ pi- #text{#def{>=}0 neut. } nu_tau)/G(total)
S035B36    Y       Parm121/G(total)          G(tau- --> pi- K+ pi- #text{#def{>=}0 neut. } nu_tau)/G(total)
S035B35    N       Parm120/Parm194           G(tau- --> pi- pi+ pi- #text{#def{>=}0 neutrals } nu_tau)/G(tau- --> h- h- h+ #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau #text{#tex{\egroup}})
S035B34    Y       Parm119/G(total)          G(tau- --> K- K0 pi0 nu_tau)/G(total)
S035C32    Y       Parm270/Parm258           G(tau- --> K- h+ pi- nu_tau #text{(ex.#p{K0})})/G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
S035C30    Y       Parm269/G(total)          G(tau- --> pbar pi0 eta)/G(total)
S035B39    N       Parm124/G(total)          G(tau- --> K- K+ K- #text{#def{>=}0 neut. } nu_tau)/G(total)
S035B38    Y       Parm123/G(total)          G(tau- --> K- pi+ K- #text{#def{>=}0 neut. } nu_tau)/G(total)
S035C36    Y       Parm247/Parm262           G(tau- --> K- K+ pi- pi0 nu_tau)/G(tau- --> pi- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0})})
S035C37    Y       Parm272/G(total)          G(tau- --> pi- Kbar0 #text{#def{>=}}1pi0 nu_tau)/G(total)
S035C34    Y       Parm271/Parm262           G(tau- --> K- h+ pi- pi0 nu_tau #text{(ex.#p{K0})})/G(tau- --> pi- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0})})
S035C35    Y       Parm5/Parm258             G(tau- --> K- K+ pi- nu_tau)/G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
