# RESULTS FOR MEASUREMENTS
# MEAS GAMMA    NODE    MEASVALUE    MEASERROR   EXPR   AUTHOR      YR   TITLE 
# ---- ------- -------  -----------  ----------  ------ ----------- ---  --------------------------------------------------------------------------------------------------
*  126 132     S035C28  2.20E-04     7.33757E-05 CLEO   BISHAI      99   G(Kbar0 pi- eta nu(tau)) / G(total)
*  127 43      S035C37  3.24E-03     9.91564E-04 OPAL   ABBIENDI    00C  G(Kbar0 pi- >=1 pi0 nu(tau)) / G(total)
*  128 44      S035B98  2.6E-04      2.4E-04     ALEPH  BARATE      99R  G(Kbar0 pi- 2pi0 nu(tau)) / G(total)
*  129 53      S035C5   2.3E-04      2.02485E-04 ALEPH  BARATE      98E  G(Kbar0 h- h- h+ nu(tau)) / G(total)
*  130 151     S035C61  4.1E-04      9.21954E-05 CLEO3  ARMS        05   G(K- omega nu(tau)) / G(total)
*  131 136     S035B89  2.3E-04      5.0e-05     CLEO   ANASTASSOV  01   G(pi- pi- pi+ eta nu(tau) (ex. K0)) / G(total)
*  132 46      S035B51  0.153E-02    0.034E-02   ALEPH  BARATE      98E  G(pi- K0 Kbar0 nu(tau)) / G(total)
*  133 49      S035C44  0.31E-03     0.23E-03    ALEPH  BARATE      99R  G(pi- pi0 K0 Kbar0 nu(tau)) / G(total)
*  134 805     S035Z06  0.04E-02     0.02E-02    ALEPH  SCHAEL      05C  G(a1- (-> pi- gamma) nu(tau)) / G(total)
*  135 3by5    S035R5  0.979145828 3.917873e-03  BABAR  AUBERT      10P  G(mu- nubar(mu) nu(tau)) / G(e- nubar(e) nu(tau))
*  136 9by5    S035Y01 0.593673115 6.213344e-03  BABAR  AUBERT      10P  G(pi- nu(tau)) / G(e- nubar(e) nu(tau))
*  137 10by5   S035Y02 0.038676015 6.404611e-04  BABAR  AUBERT      10P  G(K- nu(tau)) / G(e- nubar(e) nu(tau))
*  138 16      S035B29 0.004160000 1.824828e-04  BABAR  AUBERT      07AP G(K- pi0 nu(tau)) / G(total)
*  139 35      S035B32 0.008101076 2.564702e-04  BABAR  AUBERT      08I  G(Kbar0 pi- nu(tau)) / G(total)
*  140 40      S035B33 0.003420000 1.615552e-04  BABAR  AUBERT      09D  G(Kbar0 pi- pi0 nu(tau)) / G(total)
*  141 60      S035C19 0.088337000 1.269400e-03  BABAR  AUBERT      08   G(pi- pi- pi+ nu(tau) (ex. K0)) / G(total)
*  142 85      S035C21 0.002725700 9.417643e-05  BABAR  AUBERT      08   G(K- pi- pi+ nu(tau) (ex. K0)) / G(total)
*  143 93      S035R40 0.001346100 3.776148e-05  BABAR  AUBERT      08   G(pi- K- K+ nu(tau)) / G(total)
*  144 103     S035R38 0.000828108 3.777961e-05  BABAR  AUBERT      05W  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*  145 96      S035C9  0.000015777 1.790238e-06  BABAR  AUBERT      08   G(K- K- K+ nu(tau)) / G(total)
*  146 136     S035B89 0.000160000 1.208307e-05  BABAR  AUBERT      08AE G(pi- pi- pi+ eta nu(tau) (ex. K0)) / G(total)
*  147 128     S035B20 0.000142000 1.303840e-05  BABAR  SANCHEZ     11   G(K- eta nu(tau)) / G(total)
*  148 13      S035R84 0.256700000 3.901282e-03  BELLE  FUJIKAWA    08   G(h- pi0 nu(tau)) / G(total)
*  149 35      S035B32 0.007967130 2.683923e-04  BELLE  EPIFANOV    07   G(Kbar0 pi- nu(tau)) / G(total)
